PROTID	GENEID	GRLCL_1D_ETHCD_INT	GRLCL_1D_HCD_INT	GRLCL_2D_ETHCD_INT	
na	na	GRLCL_1D	GRLCL_1D	GRLCL_2D	
P10412	H1-4	0.000000	0.000000	0.000000	
P10619	CTSA	0.000000	0.000000	0.000000	
P10644	PRKAR1A	0.000000	0.000000	0.000000	
P10809	HSPD1	0.000000	0.000000	0.000000	
P11021	HSPA5	0.000000	0.000000	0.000000	
P11142	HSPA8	0.000000	0.000000	0.000000	
P11171	EPB41	0.000000	0.000000	0.000000	
P11279	LAMP1	0.000000	0.000000	0.000000	
P11309	PIM1	0.000000	0.000000	0.000000	
P11310	ACADM	0.000000	0.000000	0.000000	
P11387	TOP1	0.000000	0.000000	0.000000	
P11388	TOP2A	0.000000	0.000000	0.000000	
P11413	G6PD	0.000000	0.000000	0.000000	
P11586	MTHFD1	0.000000	0.000000	0.000000	
P11717	IGF2R	0.000000	0.000000	0.000000	
P11836	MS4A1	0.000000	0.000000	0.000000	
P11926	ODC1	0.000000	0.000000	0.000000	
P11940	PABPC1	0.000000	0.000000	0.000000	
P12004	PCNA	0.000000	0.000000	0.000000	
P12074	COX6A1	0.000000	0.000000	0.000000	
P12081	HARS1	0.000000	0.000000	0.000000	
P12268	IMPDH2	0.000000	0.000000	0.000000	
P12270	TPR	0.000000	0.000000	0.000000	
P12755	SKI	0.000000	0.000000	0.000000	
P12931	SRC	0.000000	0.000000	0.000000	
P12956	XRCC6	0.000000	0.000000	0.000000	
P13010	XRCC5	0.000000	0.000000	0.000000	
P13051	UNG	0.000000	0.000000	0.000000	
P13073	COX4I1	0.000000	0.000000	0.000000	
P13164	IFITM1	0.000000	0.000000	0.000000	
P13196	ALAS1	0.000000	0.000000	0.000000	
P13639	EEF2	0.000000	0.000000	0.000000	
P13667	PDIA4	0.000000	0.000000	0.000000	
P13693	TPT1	0.000000	0.000000	0.000000	
P13747	HLA-E	0.000000	0.000000	0.000000	
P13796	LCP1	0.000000	0.000000	0.000000	
P13798	APEH	0.000000	0.000000	0.000000	
P13804	ETFA	0.000000	0.000000	0.000000	
P13807	GYS1	0.000000	0.000000	0.000000	
P13984	GTF2F2	0.000000	0.000000	0.000000	
P13995	MTHFD2	0.000000	0.000000	0.000000	
P14174	MIF	0.000000	0.000000	0.000000	
P14316	IRF2	0.000000	0.000000	0.000000	
P14317	HCLS1	0.000000	0.000000	0.000000	
P14324	FDPS	0.000000	0.000000	0.000000	
P14543	NID1	0.000000	0.000000	0.000000	
P14598	NCF1	0.000000	0.000000	0.000000	
P14618	PKM	0.000000	0.000000	0.000000	
P14635	CCNB1	0.000000	0.000000	0.000000	
P14784	IL2RB	0.000000	0.000000	0.000000	
P14854	COX6B1	0.000000	0.000000	0.000000	
P14866	HNRNPL	0.000000	0.000000	0.000000	
P14921	ETS1	0.000000	0.000000	0.000000	
P15104	GLUL	0.000000	0.000000	0.000000	
P15170	GSPT1	0.000000	0.000000	0.000000	
P15311	EZR	0.000000	0.000000	0.000000	
P15391	CD19	0.000000	0.000000	0.000000	
P15559	NQO1	0.000000	0.000000	0.000000	
P15880	RPS2	0.000000	0.000000	0.000000	
P15907	ST6GAL1	0.000000	0.000000	0.000000	
P15927	RPA2	0.000000	0.000000	0.000000	
P15954	COX7C	0.000000	0.000000	0.000000	
P16885	PLCG2	0.000000	0.000000	0.000000	
P17028	ZNF24	0.000000	0.000000	0.000000	
P17275	JUNB	0.000000	0.000000	0.000000	
P17405	SMPD1	0.000000	0.000000	0.000000	
P17480	UBTF	0.000000	0.000000	0.000000	
P17612	PRKACA	0.000000	0.000000	0.000000	
P17707	AMD1	0.000000	0.000000	0.000000	
P17844	DDX5	0.000000	0.000000	0.000000	
P17927	CR1	0.000000	0.000000	0.000000	
P17931	LGALS3	0.000000	0.000000	0.000000	
P17980	PSMC3	0.000000	0.000000	0.000000	
P17987	TCP1	0.000000	0.000000	0.000000	
P18074	ERCC2	0.000000	0.000000	0.000000	
P18077	RPL35A	0.000000	0.000000	0.000000	
P18085	ARF4	0.000000	0.000000	0.000000	
P18124	RPL7	0.000000	0.000000	0.000000	
P18583	SON	0.000000	0.000000	0.000000	
P18621	RPL17	0.000000	0.000000	0.000000	
P18627	LAG3	0.000000	0.000000	0.000000	
P18850	ATF6	0.000000	0.000000	0.000000	
P18858	LIG1	0.000000	0.000000	0.000000	
P18887	XRCC1	0.000000	0.000000	0.000000	
P19338	NCL	0.000000	0.000000	0.000000	
P19387	POLR2C	0.000000	0.000000	0.000000	
P19388	POLR2E	0.000000	0.000000	0.000000	
P19404	NDUFV2	0.000000	0.000000	0.000000	
P19447	ERCC3	0.000000	0.000000	0.000000	
P19474	TRIM21	0.000000	0.000000	0.000000	
P19525	EIF2AK2	0.000000	0.000000	0.000000	
P19623	SRM	0.000000	0.000000	0.000000	
P19838	NFKB1	0.000000	0.000000	0.000000	
P20036	HLA-DPA1	0.000000	0.000000	0.000000	
P20073	ANXA7	0.000000	0.000000	0.000000	
P20226	TBP	0.000000	0.000000	0.000000	
P20290	BTF3	0.000000	0.000000	0.000000	
P20585	MSH3	0.000000	0.000000	0.000000	
P20591	MX1	0.000000	0.000000	0.000000	
P20592	MX2	0.000000	0.000000	0.000000	
P20618	PSMB1	0.000000	0.000000	0.000000	
P20701	ITGAL	0.000000	0.000000	0.000000	
P20930	FLG	0.000000	0.000000	0.000000	
P21127	CDK11B	0.000000	0.000000	0.000000	
P21333	FLNA	0.000000	0.000000	0.000000	
P21359	NF1	0.000000	0.000000	0.000000	
P22059	OSBP	0.000000	0.000000	0.000000	
P22087	FBL	0.000000	0.000000	0.000000	
P22102	GART	0.000000	0.000000	0.000000	
P22234	PAICS	0.000000	0.000000	0.000000	
P22307	SCP2	0.000000	0.000000	0.000000	
P22314	UBA1	0.000000	0.000000	0.000000	
P22626	HNRNPA2B1	0.000000	0.000000	0.000000	
P22794	EVI2A	0.000000	0.000000	0.000000	
P23193	TCEA1	0.000000	0.000000	0.000000	
P23246	SFPQ	0.000000	0.000000	0.000000	
P23258	TUBG1	0.000000	0.000000	0.000000	
P23381	WARS1	0.000000	0.000000	0.000000	
P23396	RPS3	0.000000	0.000000	0.000000	
P23443	RPS6KB1	0.000000	0.000000	0.000000	
P23497	SP100	0.000000	0.000000	0.000000	
P23528	CFL1	0.000000	0.000000	0.000000	
P23588	EIF4B	0.000000	0.000000	0.000000	
P23610	F8A1	0.000000	0.000000	0.000000	
P23771	GATA3	0.000000	0.000000	0.000000	
P23921	RRM1	0.000000	0.000000	0.000000	
P24001	IL32	0.000000	0.000000	0.000000	
P24390	KDELR1	0.000000	0.000000	0.000000	
P24557	TBXAS1	0.000000	0.000000	0.000000	
P24752	ACAT1	0.000000	0.000000	0.000000	
P24928	POLR2A	0.000000	0.000000	0.000000	
P25054	APC	0.000000	0.000000	0.000000	
P25098	GRK2	0.000000	0.000000	0.000000	
