PROTID	GENEID	GRLCL_1D_ETHCD_INT	GRLCL_1D_HCD_INT	GRLCL_2D_ETHCD_INT	
na	na	GRLCL_1D	GRLCL_1D	GRLCL_2D	
SPROHSA170205		0.000000	0.000000	0.000000	
SPROHSA170456		0.000000	0.000000	0.000000	
SPROHSA170462		0.000000	0.000000	0.000000	
SPROHSA171136		0.000000	0.000000	0.000000	
SPROHSA171456		0.000000	0.000000	0.000000	
SPROHSA171879		0.000000	0.000000	0.000000	
SPROHSA172912		0.000000	0.000000	0.000000	
SPROHSA173383		0.000000	0.000000	0.000000	
SPROHSA173467		0.000000	0.000000	0.000000	
SPROHSA173568		0.000000	0.000000	0.000000	
SPROHSA173872		0.000000	0.000000	0.000000	
SPROHSA174088		0.000000	0.000000	0.000000	
SPROHSA174296		0.000000	0.000000	0.000000	
SPROHSA17509		0.000000	0.000000	0.000000	
SPROHSA175188		0.000000	0.000000	0.000000	
SPROHSA175298		0.000000	0.000000	0.000000	
SPROHSA175457		0.000000	0.000000	0.000000	
SPROHSA175536		0.000000	0.000000	0.000000	
SPROHSA175551		0.000000	0.000000	0.000000	
SPROHSA175557		0.000000	0.000000	0.000000	
SPROHSA175970		0.000000	0.000000	0.000000	
SPROHSA176084		0.000000	0.000000	0.000000	
SPROHSA176107		0.000000	0.000000	0.000000	
SPROHSA1766		0.000000	0.000000	0.000000	
SPROHSA177		0.000000	0.000000	0.000000	
SPROHSA177146		0.000000	0.000000	0.000000	
SPROHSA177372		0.000000	0.000000	0.000000	
SPROHSA1774		0.000000	0.000000	0.000000	
SPROHSA17815		0.000000	0.000000	0.000000	
SPROHSA178440		0.000000	0.000000	0.000000	
SPROHSA178477		0.000000	0.000000	0.000000	
SPROHSA178491		0.000000	0.000000	0.000000	
SPROHSA179428		0.000000	0.000000	0.000000	
SPROHSA180805		0.000000	0.000000	0.000000	
SPROHSA180839		0.000000	0.000000	0.000000	
SPROHSA180925		0.000000	0.000000	0.000000	
SPROHSA181350		0.000000	0.000000	0.000000	
SPROHSA181389		0.000000	0.000000	0.000000	
SPROHSA182027		0.000000	0.000000	0.000000	
SPROHSA182231		0.000000	0.000000	0.000000	
SPROHSA182308		0.000000	0.000000	0.000000	
SPROHSA182309		0.000000	0.000000	0.000000	
SPROHSA182461		0.000000	0.000000	0.000000	
SPROHSA182708		0.000000	0.000000	0.000000	
SPROHSA182802		0.000000	0.000000	0.000000	
SPROHSA183118		0.000000	0.000000	0.000000	
SPROHSA183572		0.000000	0.000000	0.000000	
SPROHSA183888		0.000000	0.000000	0.000000	
SPROHSA18441		0.000000	0.000000	0.000000	
SPROHSA18513		0.000000	0.000000	0.000000	
SPROHSA185338		0.000000	0.000000	0.000000	
SPROHSA185544		0.000000	0.000000	0.000000	
SPROHSA186279		0.000000	0.000000	0.000000	
SPROHSA186582		0.000000	0.000000	0.000000	
SPROHSA186847		0.000000	0.000000	0.000000	
SPROHSA187050		0.000000	0.000000	0.000000	
SPROHSA187187		0.000000	0.000000	0.000000	
SPROHSA187546		0.000000	0.000000	0.000000	
SPROHSA187839		0.000000	0.000000	0.000000	
SPROHSA187847		0.000000	0.000000	0.000000	
SPROHSA188920		0.000000	0.000000	0.000000	
SPROHSA189060		0.000000	0.000000	0.000000	
SPROHSA189081		0.000000	0.000000	0.000000	
SPROHSA189162		0.000000	0.000000	0.000000	
SPROHSA189344		0.000000	0.000000	0.000000	
SPROHSA189401		0.000000	0.000000	0.000000	
SPROHSA189429		0.000000	0.000000	0.000000	
SPROHSA189612		0.000000	0.000000	0.000000	
SPROHSA189807		0.000000	0.000000	0.000000	
SPROHSA19016		0.000000	0.000000	0.000000	
SPROHSA190226		0.000000	0.000000	0.000000	
SPROHSA190434		0.000000	0.000000	0.000000	
SPROHSA190553		0.000000	0.000000	0.000000	
SPROHSA190573		0.000000	0.000000	0.000000	
SPROHSA190582		0.000000	0.000000	0.000000	
SPROHSA190745		0.000000	0.000000	0.000000	
SPROHSA190771		0.000000	0.000000	0.000000	
SPROHSA191408		0.000000	0.000000	0.000000	
SPROHSA19179		0.000000	0.000000	0.000000	
SPROHSA191991		0.000000	0.000000	0.000000	
SPROHSA191992		0.000000	0.000000	0.000000	
SPROHSA192286		0.000000	0.000000	0.000000	
SPROHSA192545		0.000000	0.000000	0.000000	
SPROHSA193058		0.000000	0.000000	0.000000	
SPROHSA193098		0.000000	0.000000	0.000000	
SPROHSA19333		0.000000	0.000000	0.000000	
SPROHSA193643		0.000000	0.000000	0.000000	
SPROHSA194360		0.000000	0.000000	0.000000	
SPROHSA194676		0.000000	0.000000	0.000000	
SPROHSA194761		0.000000	0.000000	0.000000	
SPROHSA19487		0.000000	0.000000	0.000000	
SPROHSA196036		0.000000	0.000000	0.000000	
SPROHSA196049		0.000000	0.000000	0.000000	
SPROHSA196107		0.000000	0.000000	0.000000	
SPROHSA19618		0.000000	0.000000	0.000000	
SPROHSA196304		0.000000	0.000000	0.000000	
SPROHSA196380		0.000000	0.000000	0.000000	
SPROHSA196477		0.000000	0.000000	0.000000	
SPROHSA196653		0.000000	0.000000	0.000000	
SPROHSA197148		0.000000	0.000000	0.000000	
SPROHSA197228		0.000000	0.000000	0.000000	
SPROHSA197262		0.000000	0.000000	0.000000	
SPROHSA197317		0.000000	0.000000	0.000000	
SPROHSA197444		0.000000	0.000000	0.000000	
SPROHSA198015		0.000000	0.000000	0.000000	
SPROHSA19876		0.000000	0.000000	0.000000	
SPROHSA199270		0.000000	0.000000	0.000000	
SPROHSA199403		0.000000	0.000000	0.000000	
SPROHSA199509		0.000000	0.000000	0.000000	
SPROHSA199734		0.000000	0.000000	0.000000	
SPROHSA200144		0.000000	0.000000	0.000000	
SPROHSA201447		0.000000	0.000000	0.000000	
